#{"t_start": 1711713967.3744276, "env_id": "None"}
r,l,t
-14.896591,199,8218.592083
-16.829948,199,8222.264929
-26.461398,199,8225.885154
-34.077348,199,8229.478292
-25.222614,199,8234.009229
-25.232918,199,8237.673918
-33.179091,199,8241.298353
-10.285566,199,8244.897637
-27.155161,199,8248.50209
-42.983304,199,8252.108634
-6.897176,199,8255.761383
-19.013333,199,8259.381727
-15.775848,199,8262.987258
-23.384374,199,8266.579296
-32.770406,199,8271.095905
-24.981737,199,8274.764783
-28.218822,199,8278.374682
-30.525866,199,8282.005133
-19.449805,199,8285.599988
-43.323881,199,8289.266093
-23.561915,199,8292.873297
-36.413115,199,8296.489219
-15.454255,199,8300.088393
-12.456527,199,8303.693758
-15.066339,199,8308.261292
-3.808947,199,8311.882914
-40.980783,199,8315.49779
-29.050861,199,8319.103841
-20.76425,199,8322.799562
-25.225399,199,8326.405314
-42.119013,199,8329.999783
-28.79813,199,8333.598032
-37.259512,199,8337.206626
-30.62642,199,8340.875397
-31.399913,199,8344.495926
-44.006865,199,8349.008817
-30.348566,199,8352.603865
-43.725688,199,8356.259555
-28.387689,199,8359.86755
-22.036231,199,8363.472235
-18.63587,199,8367.07415
-26.703719,199,8370.687714
-39.78561,199,8374.361219
-30.60349,199,8377.978855
-29.516788,199,8381.599679
-27.44588,199,8386.09937
-23.223213,199,8389.770147
-26.289297,199,8393.37128
-38.849428,199,8396.972617
-40.527318,199,8400.595318
-30.460223,199,8404.26398
-25.727405,199,8407.954083
-32.958701,199,8411.556861
-46.686059,199,8415.184221
-37.922992,199,8418.80862
-35.020307,199,8423.358562
-40.401362,199,8426.961553
-29.361533,199,8430.572957
-49.532584,199,8434.187642
-30.840659,199,8437.82579
-32.123796,199,8441.488887
-39.313049,199,8445.107006
-42.634158,199,8448.709053
-42.690932,199,8452.305775
-35.784158,199,8455.995368
-47.238682,199,8459.587761
-39.838622,199,8464.1638
-37.045046,199,8467.800731
-53.308479,199,8471.398485
-37.068146,199,8475.083829
-37.21627,199,8478.710618
-58.399925,199,8482.304125
-23.77784,199,8485.894685
-48.138116,199,8489.503909
-36.913218,199,8493.167386
-46.473888,199,8496.795862
-46.691142,199,8501.303646
-25.652892,199,8504.950665
-63.287206,199,8508.633118
-47.745271,199,8512.290992
-43.949787,199,8515.886525
-43.291178,199,8519.568087
-36.299503,199,8523.218107
-45.548035,199,8526.928703
-37.559968,199,8530.522601
-43.035572,199,8534.12126
-39.161573,199,8538.66249
-33.914479,199,8542.337272
-42.526143,199,8545.952358
-39.391097,199,8549.573342
-58.635973,199,8553.183176
-67.256231,199,8556.853619
-41.105427,199,8560.530035
-47.846102,199,8564.1289
-39.091762,199,8567.783688
-31.941402,199,8571.395886
-35.979653,199,8575.970144
-33.171521,199,8579.585973
-71.931188,199,8583.192767
-43.340189,199,8586.800814
-34.334185,199,8590.397161
-34.728831,199,8594.065952
-59.825254,199,8597.691098
-46.535979,199,8601.346281
-47.284892,199,8605.001727
-53.779761,199,8608.605517
-36.608227,199,8612.266009
-45.823717,199,8616.771345
-16.639086,199,8620.38125
-63.190387,199,8624.005237
-41.966826,199,8627.67783
-29.890835,199,8631.286235
-27.749132,199,8634.892666
-36.757395,199,8638.504116
-49.815687,199,8642.111355
-17.31849,199,8645.839576
-35.791652,199,8649.483732
-30.349583,199,8654.054018
-38.891431,199,8657.663717
-48.513635,199,8661.344073
-29.213887,199,8664.956687
-71.718337,199,8668.576818
-55.554893,199,8672.186649
-27.78222,199,8675.79656
-0.32421,199,8679.485649
-56.832634,199,8683.126794
-30.466762,199,8686.751106
-39.40884,199,8691.284433
-8.179233,199,8694.957196
-5.190548,199,8698.568831
-18.770547,199,8702.18246
-22.628297,199,8705.785684
-30.181485,199,8709.397179
-41.156106,199,8713.148607
-46.401405,199,8716.758211
-31.256869,199,8720.38255
-24.26185,199,8723.999049
-25.125135,199,8727.654119
-33.356882,199,8732.19128
-41.389818,199,8735.797207
-27.830932,199,8739.423702
-17.176824,199,8743.043349
-34.52907,199,8746.727915
-27.601644,199,8750.316463
-26.620776,199,8753.925756
-21.258409,199,8757.51923
-27.068696,199,8761.213944
-43.158625,199,8764.808391
-13.493943,199,8769.307914
-16.599419,199,8772.918722
-48.526842,199,8776.50173
-30.399763,199,8780.17426
-18.750307,199,8783.79785
-26.298364,199,8787.391315
-38.662102,199,8791.003331
-33.499361,199,8794.584017
-21.871023,199,8798.267078
-29.804003,199,8801.88401
-53.238734,199,8806.38715
-41.440535,199,8809.999008
-12.08788,199,8813.671856
-6.246146,199,8817.278221
-22.10846,199,8820.900172
-15.638633,199,8824.496726
-20.839252,199,8828.087972
-14.45238,199,8831.77467
-35.272813,199,8835.381236
-39.866282,199,8839.005688
-37.583637,199,8842.608528
-23.516048,199,8847.200738
-25.290588,199,8850.827251
-26.419428,199,8854.459592
-22.730818,199,8858.068296
-41.653856,199,8861.676051
-60.370818,199,8865.33557
-41.399182,199,8868.925506
-17.430014,199,8872.550321
-56.005441,199,8876.16613
-24.210911,199,8879.886416
-14.848104,199,8884.407581
-19.308778,199,8888.003911
-19.232079,199,8891.591546
-28.67939,199,8895.227493
-21.288839,199,8898.908887
-31.144362,199,8902.501401
-28.91666,199,8906.109926
-40.207108,199,8909.705925
-15.209017,199,8913.374105
-32.177569,199,8916.982293
-58.065776,199,8921.566037
-37.692928,199,8925.194454
-11.544463,199,8928.79993
-14.298764,199,8932.501463
-27.73336,199,8936.117441
-6.071006,199,8939.711288
-16.569668,199,8943.29945
-27.036346,199,8946.946586
-31.210928,199,8950.598635
-12.831852,199,8954.192074
-56.307259,199,8958.692662
-15.711017,199,8962.297487
-34.588521,199,8965.981158
-58.436337,199,8969.595203
-12.89696,199,8973.190304
-23.312424,199,8976.790402
-12.012951,199,8980.388278
-32.694787,199,8984.078547
-1.319471,199,8987.682846
-36.279904,199,8991.292003
-29.718009,199,8994.917315
-25.004101,199,8999.474098
-64.10405,199,9003.088887
-17.036374,199,9006.692596
-58.125662,199,9010.302385
-36.246338,199,9013.935418
-27.963546,199,9017.617328
-28.733087,199,9021.255671
-21.764902,199,9024.863072
-38.988191,199,9028.460989
-30.439894,199,9032.150648
-38.94036,199,9036.717881
-35.793287,199,9040.326729
-30.517762,199,9043.937506
-43.923974,199,9047.560177
-15.309214,199,9051.235991
-29.65859,199,9054.855599
-22.969189,199,9058.479782
-30.616209,199,9062.09672
-26.638822,199,9065.693594
-14.802865,199,9069.363028
-37.160211,199,9073.876065
-34.085133,199,9077.488333
-10.453177,199,9081.11325
-18.364176,199,9084.773835
-13.334754,199,9088.387078
-17.369721,199,9092.001935
6.14185,199,9095.628543
-37.286268,199,9099.254807
-23.937544,199,9103.003924
-30.200457,199,9106.651786
-19.886786,199,9110.259659
-14.478331,199,9114.873638
-23.713199,199,9118.558932
-24.182647,199,9122.18346
-39.54493,199,9125.793223
-17.138371,199,9129.409598
-19.174212,199,9133.018582
-54.758182,199,9136.687468
-49.805942,199,9140.31145
-29.44735,199,9143.956302
-25.124956,199,9147.561337
-7.422247,199,9152.252898
-27.262868,199,9155.860281
-22.200386,199,9159.484905
-5.452607,199,9163.095781
-8.591709,199,9166.730513
-23.34599,199,9170.431674
-16.542669,199,9174.050771
-39.547177,199,9177.656015
-27.964866,199,9181.285639
-16.592638,199,9184.952821
-27.859551,199,9189.474537
-15.826613,199,9193.08975
-25.495232,199,9196.704082
-28.134469,199,9200.319182
-6.696628,199,9203.970946
-25.695431,199,9207.570995
-21.017904,199,9211.170168
-24.28211,199,9214.781892
-30.516742,199,9218.398955
-10.268131,199,9222.083819
-34.508224,199,9226.582297
-39.111832,199,9230.185553
-17.139208,199,9233.78524
-36.897272,199,9237.465528
-26.257281,199,9241.08392
-19.123367,199,9244.696127
-41.010975,199,9248.316796
-40.040274,199,9251.926343
-44.292257,199,9255.608413
-37.916678,199,9259.203917
-35.182115,199,9262.791661
-15.581638,199,9267.359233
-34.286351,199,9271.03074
-34.611754,199,9274.654307
-16.282683,199,9278.286326
-25.209529,199,9281.900155
-36.421023,199,9285.48823
-31.162304,199,9289.158611
-32.279608,199,9292.753945
-18.583168,199,9296.373008
-8.088047,199,9300.012302
-18.881709,199,9305.400306
-14.010814,199,9309.01124
-11.781537,199,9312.651914
-12.667622,199,9316.296626
-20.024296,199,9319.897641
-18.766218,199,9323.558434
-10.219551,199,9327.153958
-36.081036,199,9330.764392
-27.731652,199,9334.3959
-22.73965,199,9338.018131
-17.389695,199,9342.58809
-20.142461,199,9346.22007
-30.371725,199,9349.799993
-19.925974,199,9353.385384
-38.687363,199,9357.047697
-25.309557,199,9360.677795
-33.384949,199,9364.275587
-30.943335,199,9367.876229
-19.822732,199,9371.477625
-28.35012,199,9375.141153
-13.275596,199,9378.724121
-25.291477,199,9383.189301
-19.616535,199,9386.78666
-24.458174,199,9390.466327
-33.424814,199,9394.08007
-10.282627,199,9397.676886
-14.992081,199,9401.286643
-22.849895,199,9404.914376
-32.188214,199,9408.617091
-12.954868,199,9412.215556
-20.873363,199,9415.813609
-25.313733,199,9420.302626
-11.27463,199,9423.950918
-29.895145,199,9427.636788
-46.177682,199,9431.24359
-25.532232,199,9434.847601
-20.703403,199,9438.475459
-34.940643,199,9442.156425
-41.740713,199,9445.782096
-45.283409,199,9449.378351
-39.978774,199,9452.978126
-46.624359,199,9457.466712
-38.04395,199,9461.147338
-30.621503,199,9464.77961
-27.741249,199,9468.377021
-32.315943,199,9471.975849
-47.823605,199,9475.660307
-32.085721,199,9479.266259
-40.07976,199,9482.862056
-23.516643,199,9486.485298
-37.153217,199,9490.093009
-42.373962,199,9494.719864
-41.189868,199,9498.338395
-49.281525,199,9501.950538
-52.645188,199,9505.554217
-33.467912,199,9509.164785
-23.522243,199,9512.851353
-34.181279,199,9516.488436
-43.198817,199,9520.085834
-33.701444,199,9523.708971
-31.344944,199,9527.295353
-37.443207,199,9530.982448
-35.626084,199,9535.504653
-48.978806,199,9539.105893
-43.352895,199,9542.69617
-21.50929,199,9546.366195
-32.560886,199,9549.976013
-32.178141,199,9553.59591
-43.905485,199,9557.194736
-44.702676,199,9560.870833
-24.409776,199,9564.487573
-39.857324,199,9568.110874
-50.111837,199,9572.661434
-49.437011,199,9576.265127
-39.249124,199,9579.930122
-37.920385,199,9583.517542
-56.384698,199,9587.105905
-31.09281,199,9590.715389
-39.46646,199,9594.363947
-22.514905,199,9597.998698
-28.540223,199,9601.636706
-35.755985,199,9605.231681
-34.259163,199,9609.760289
-48.618042,199,9613.480966
-36.743568,199,9617.138064
-27.482733,199,9620.719877
-27.33761,199,9624.303818
-45.140734,199,9627.901212
-40.361727,199,9631.577966
-40.413098,199,9635.199012
-32.911659,199,9638.790741
-45.341826,199,9642.39913
-36.54534,199,9646.043199
-39.447107,199,9650.552707
-43.74699,199,9654.187976
-31.231075,199,9657.78688
-60.597127,199,9661.462979
-35.618342,199,9665.091006
-32.861686,199,9668.692285
-40.946109,199,9672.305793
-39.350796,199,9675.903012
-40.385687,199,9679.582585
-49.334007,199,9683.191221
-27.823968,199,9687.689881
-27.681812,199,9691.288577
-50.793122,199,9694.949008
-39.278587,199,9698.559893
-45.262372,199,9702.16955
-54.534779,199,9705.773322
-42.375847,199,9709.391945
-27.983996,199,9713.0512
-41.16559,199,9716.674628
-37.520368,199,9720.287916
-35.499579,199,9724.78538
-34.93117,199,9728.440005
-40.285174,199,9732.041332
-34.074349,199,9735.661124
-42.175101,199,9739.278632
-27.683814,199,9742.889894
-32.927946,199,9746.552793
-23.741153,199,9750.157823
-40.090042,199,9753.765029
-47.636193,199,9757.380305
-43.439524,199,9761.076485
-31.043506,199,9765.577046
-44.89056,199,9769.177208
-41.201865,199,9772.782874
-34.093749,199,9776.392709
-52.192337,199,9780.067004
-23.061982,199,9783.673482
-48.983054,199,9787.27893
-27.6663,199,9790.889724
-32.039899,199,9794.486903
-39.094796,199,9798.151689
-45.17389,199,9802.662846
-33.874317,199,9806.283641
-45.203222,199,9809.886909
-39.029369,199,9813.540716
-15.974419,199,9817.149969
-43.92902,199,9820.763589
-50.890285,199,9824.377387
-38.571873,199,9827.972972
-67.280799,199,9831.638297
-35.040314,199,9835.259238
-32.328502,199,9839.739563
-30.886217,199,9843.355335
-49.136224,199,9847.023596
-39.336723,199,9850.640252
-38.383773,199,9854.242332
-43.480133,199,9857.855558
-41.393313,199,9861.470374
-46.983356,199,9865.143848
-24.527553,199,9868.745095
-36.88406,199,9872.360734
-30.0802,199,9876.891026
-39.094412,199,9880.572644
-35.225071,199,9884.176076
-25.984537,199,9887.780711
-28.253188,199,9891.374161
-25.132845,199,9894.982591
-22.962311,199,9898.642981
-33.739146,199,9902.242097
-23.974296,199,9905.845848
-20.223258,199,9909.452431
-32.030187,199,9913.134056
-45.912874,199,9917.608382
-32.936846,199,9921.190647
-37.358131,199,9924.781464
-51.106936,199,9928.377458
-55.296463,199,9932.04626
-42.047412,199,9935.656446
-46.907276,199,9939.261293
-47.051697,199,9942.877489
-14.222543,199,9946.479704
-47.095049,199,9950.154187
-31.589162,199,9954.648285
-58.195684,199,9958.253295
-46.896113,199,9961.869058
-36.024989,199,9965.540958
-25.429839,199,9969.157052
