#{"t_start": 1711781886.422358, "env_id": "None"}
r,l,t
6.304642,199,3494.989172
6.267879,199,3498.648524
-6.817342,199,3502.234194
-10.254555,199,3505.818331
-54.111959,199,3509.392643
-1.854225,199,3513.857055
-31.153322,199,3517.469995
-41.374104,199,3521.082168
-24.271523,199,3524.696557
-15.386955,199,3528.294738
-31.618827,199,3531.95264
-39.109455,199,3535.522364
2.721166,199,3539.141825
-16.591192,199,3542.766815
-1.00286,199,3546.450769
-3.334138,199,3550.026339
2.643096,199,3554.463064
29.218222,199,3558.065402
-7.020632,199,3561.659039
-6.436147,199,3565.356584
-10.801472,199,3568.953481
-24.759814,199,3572.567149
-18.497102,199,3576.164649
-15.04724,199,3579.809152
-25.477096,199,3583.489392
-9.460491,199,3587.094242
15.388651,199,3591.494493
-39.49644,199,3595.081004
17.110133,199,3598.761536
-9.923802,199,3602.36595
-0.063294,199,3605.990164
-9.16418,199,3609.599745
-12.669969,199,3613.177963
-8.191968,199,3616.849296
4.427178,199,3620.449446
-1.527095,199,3624.071793
4.608698,199,3628.501135
-42.151005,199,3632.173693
0.356956,199,3635.78495
-8.930493,199,3639.402686
-24.91732,199,3642.988635
-22.2825,199,3646.585415
-5.367924,199,3650.25679
20.541266,199,3653.88063
-4.220368,199,3657.477524
-31.461885,199,3661.084967
-23.035275,199,3665.566574
-21.654519,199,3669.182278
-15.326855,199,3672.80213
17.596828,199,3676.400234
8.075949,199,3680.069753
-22.067983,199,3683.734543
-46.083101,199,3687.317756
-12.435717,199,3690.902581
-22.299991,199,3694.489757
-20.616994,199,3698.082083
-14.838994,199,3701.755328
-4.611767,199,3706.165401
-22.730103,199,3709.776169
3.098517,199,3713.376123
-34.23827,199,3717.028569
-0.208809,199,3720.604204
-27.872406,199,3724.193308
-34.14736,199,3727.79725
-28.589429,199,3731.392194
-12.457306,199,3735.054005
-1.107351,199,3738.677301
2.044336,199,3743.083971
-3.592982,199,3746.710023
-30.691985,199,3750.382887
5.482121,199,3753.997363
-23.139627,199,3757.597094
8.335008,199,3761.191149
-29.135182,199,3764.834692
-19.756534,199,3768.549948
-12.967087,199,3772.204281
-19.842118,199,3775.823146
